Trajectory,Reward,DateTime,ExperimentName
158,198.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
159,-16.48200,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
160,248.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
161,299.73933,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
162,42.83201,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
163,182.08316,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
164,118.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
165,156.35029,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
166,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
167,-145.88998,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
168,308.84640,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
169,208.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
170,239.48985,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
171,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
172,142.00946,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
173,155.41845,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
174,3.07000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
175,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
176,-114.23724,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
177,12.38481,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
178,350.57859,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
179,1.19370,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
180,-65.73643,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
181,89.75000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
182,-273.14964,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
183,239.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
184,216.14653,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
185,-8.55344,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
186,236.10147,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
187,136.06607,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
188,-45.05484,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
189,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
190,239.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
191,-57.04001,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
192,256.04600,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
193,27.09174,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
194,-194.10770,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
195,27.79051,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
196,71.10725,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
197,8.90701,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
198,165.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
199,-36.46758,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
200,32.38815,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
201,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
202,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
203,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
204,110.00067,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
205,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
206,-61.48535,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
207,-21.44410,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
208,155.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
209,44.56718,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
210,166.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
211,144.93027,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
212,-2.72616,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
213,-105.17111,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
214,266.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
215,37.22548,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
216,14.58918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
217,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
218,250.67432,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
219,257.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
220,-42.03148,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
221,228.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
222,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
223,109.42112,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
224,255.75069,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
225,311.82098,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
226,-13.20363,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
227,-103.14147,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
228,54.58918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
229,207.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
230,-86.60947,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
231,119.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
232,191.66213,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
233,-140.93304,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
234,66.99535,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
235,42.01533,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
236,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
237,135.43290,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
238,266.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
239,-122.68862,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
240,13.58918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
241,14.69917,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
242,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
243,91.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
244,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
245,-5.54452,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
246,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
247,178.62804,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
248,101.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
249,189.40313,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
250,-173.16254,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
251,82.76482,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
252,219.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
253,-107.64667,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
254,204.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
255,234.33846,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
256,207.53208,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
257,203.94028,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
258,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
259,188.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
260,103.07500,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
261,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
262,130.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
263,-67.30816,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
264,10.57083,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
265,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
266,100.96041,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
267,134.97419,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
268,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
269,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
270,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
271,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
272,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
273,346.27969,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
274,200.51358,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
275,216.43290,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
276,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
277,265.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
278,80.73378,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
279,118.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
280,129.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
281,205.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
282,-113.90635,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
283,165.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
284,-116.64667,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
285,239.03416,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
286,133.52014,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
287,104.29563,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
288,-26.64667,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
289,55.16873,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
290,64.07500,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
291,-275.00000,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
292,165.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
293,-7.64609,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
294,40.15626,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
295,198.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
296,286.01668,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
297,-48.58952,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
298,216.85918,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
299,100.72585,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
300,108.79916,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
301,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
302,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
303,147.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
304,273.92791,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
305,256.97922,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
306,176.24167,2024-10-15 21:56:21.022381,PPO_Discrete_Logits_Guided_Advantage
